Month,Month_Name,LST_Near,LST_Far,LST_Mid,Delta_T,Gradient_per_100m,TVoE,R_squared,Season
1,Jan,2.060600996017456,3.9230257670084634,3.9734724362691245,1.8624247709910073,0.11090921080594578,180,0.2664832577341253,Winter
2,Feb,6.946442842483521,10.156373341878252,10.120737234751383,3.209930499394731,0.21210997430791842,210,0.34146426271189,Winter
3,Mar,15.341097831726074,20.710270563761394,20.216796557108562,5.36917273203532,0.40961895440627055,270,0.4767024002707016,Spring
4,Apr,23.320378303527832,28.740664800008137,28.245346069335938,5.420286496480305,0.39979061871218424,270,0.4572790003433767,Spring
5,May,30.847536087036136,36.28749465942383,35.723663330078125,5.439958572387692,0.3953345625142595,300,0.454149231160986,Spring
6,Jun,36.19895553588867,41.981946309407554,41.112574895222984,5.782990773518883,0.4336101485254802,400,0.508594531802229,Summer
7,Jul,37.35018539428711,42.71571477254232,41.50127983093262,5.365529378255211,0.4519832999784744,700,0.6403285039175051,Summer
8,Aug,34.52108573913574,38.701464335123696,37.81395149230957,4.180378595987953,0.3504605869864131,600,0.624571354052397,Summer
9,Sep,30.207181930541992,34.035457611083984,33.283918380737305,3.828275680541992,0.31614956959866936,600,0.6026623346691374,Autumn
10,Oct,21.15591049194336,23.511971791585285,23.22488498687744,2.356061299641926,0.17846573695406864,350,0.4887478853002436,Autumn
11,Nov,11.522552013397215,11.993553479512533,11.850359121958414,0.4710014661153181,0.0393244145155232,800,0.6457171705276531,Autumn
12,Dec,3.8532705307006836,4.895476500193278,4.765484094619751,1.0422059694925947,0.0705483103486976,500,0.40854494515796247,Winter
