Distance_Band,Coef_Distance_mean,Coef_Distance_std,Coef_NDVI_mean,Coef_NDVI_std,Coef_NDBI_mean,Coef_NDBI_std,R2_mean,R2_std,LST_mean,LST_std,Sample_Count,Month
0-100m,10.4830,6.7326,0.4173,0.4504,1.0859,0.2684,0.6856,0.1579,2.4152,1.2038,1341,01
100-200m,9.6137,7.0253,0.4006,0.4565,1.0998,0.2727,0.6782,0.1595,3.7340,1.2069,1322,01
200-300m,8.5382,7.1749,0.3794,0.4621,1.1151,0.2766,0.6630,0.1618,3.9716,1.2185,1281,01
300-500m,6.7920,6.7151,0.3548,0.4701,1.1309,0.2836,0.6289,0.1694,3.9971,1.2313,2538,01
500-750m,4.1180,4.7884,0.3314,0.4760,1.1404,0.2953,0.5489,0.1752,3.9034,1.2237,3033,01
750-1000m,2.1459,3.7256,0.3097,0.4808,1.0983,0.3203,0.4432,0.1742,3.9279,1.2224,2931,01
1000-1500m,0.6510,3.7459,0.2620,0.5132,0.9765,0.4024,0.3527,0.1894,3.8605,1.2919,5761,01
0-100m,21.7178,12.1275,0.7174,0.8589,1.5418,0.4559,0.6496,0.1681,7.4677,1.9031,1341,02
100-200m,20.0004,12.7893,0.6772,0.8622,1.5799,0.4517,0.6417,0.1696,9.5729,1.7524,1323,02
200-300m,17.7974,12.9723,0.6389,0.8633,1.6167,0.4496,0.6263,0.1704,10.0902,1.8327,1281,02
300-500m,14.2095,12.0993,0.5860,0.8573,1.6612,0.4484,0.5907,0.1763,10.2184,1.8693,2538,02
500-750m,8.8348,8.3792,0.4717,0.8533,1.7154,0.4612,0.5077,0.1762,10.1091,1.8805,3033,02
750-1000m,4.7804,6.1895,0.3295,0.8270,1.6650,0.5047,0.3952,0.1694,10.1658,1.8534,2931,02
1000-1500m,1.8586,5.8037,0.1536,0.8975,1.4453,0.6688,0.2960,0.1837,10.1445,2.0459,5761,02
0-100m,43.2614,18.2116,1.3618,1.1523,1.9288,0.6795,0.6446,0.1511,16.0721,3.0111,1341,03
100-200m,40.2354,19.4512,1.3573,1.1591,1.9271,0.6880,0.6354,0.1536,19.0155,2.7654,1323,03
200-300m,36.0533,19.8599,1.3455,1.1824,1.9422,0.7113,0.6180,0.1564,20.1968,2.7765,1281,03
300-500m,29.4679,18.6145,1.3283,1.1964,1.9016,0.7609,0.5798,0.1636,20.5016,2.8614,2538,03
